"","state","district","stunting_range_d","uw_range_d","wasting_range_d"
"554","UTTAR PRADESH","MAHOBA","High","High","Medium"
"555","UTTAR PRADESH","BANDA","High","High","Medium"
"556","UTTAR PRADESH","CHITRAKOOT","High","High","High"
"557","UTTAR PRADESH","FATEHPUR","High","High","Low"
"558","UTTAR PRADESH","PRATAPGARH","High","High","Medium"
"559","UTTAR PRADESH","KAUSHAMBI","High","High","High"
"560","UTTAR PRADESH","ALLAHABAD","High","High","Medium"
"561","UTTAR PRADESH","BARA BANKI","High","High","Low"
"562","UTTAR PRADESH","FAIZABAD","High","High","Medium"
"563","UTTAR PRADESH","AMBEDKAR NAGAR","High","High","Medium"
"564","UTTAR PRADESH","SULTANPUR","High","Medium","Medium"
"565","UTTAR PRADESH","BAHRAICH","High","High","Low"
"566","UTTAR PRADESH","SHRAWASTI","High","Medium","Low"
"567","UTTAR PRADESH","BALRAMPUR","High","High","Low"
"568","UTTAR PRADESH","GONDA","High","Medium","Low"
"569","UTTAR PRADESH","SIDDHARTHNAGAR","High","High","Low"
"570","UTTAR PRADESH","BASTI","High","Medium","Low"
"571","UTTAR PRADESH","SANT KABIR NAGAR","High","Medium","Low"
"572","UTTAR PRADESH","MAHRAJGANJ","High","Medium","Low"
"573","UTTAR PRADESH","GORAKHPUR","High","Medium","Medium"
"574","UTTAR PRADESH","KUSHINAGAR","High","Medium","Low"
"575","UTTAR PRADESH","DEORIA","High","Medium","Low"
"576","UTTAR PRADESH","AZAMGARH","Medium","Medium","Medium"
"577","UTTAR PRADESH","MAU","High","Medium","Medium"
"578","UTTAR PRADESH","BALLIA","Medium","Medium","Low"
"579","UTTAR PRADESH","JAUNPUR","High","High","High"
"580","UTTAR PRADESH","GHAZIPUR","High","Medium","Medium"
"581","UTTAR PRADESH","CHANDAULI","High","Medium","Medium"
"582","UTTAR PRADESH","VARANASI","High","High","High"
"583","UTTAR PRADESH","SANT RAVIDAS NAGAR","High","High","Medium"
"584","UTTAR PRADESH","MIRZAPUR","High","High","Medium"
"585","UTTAR PRADESH","SONBHADRA","High","High","Medium"
"586","UTTAR PRADESH","ETAH","High","Medium","Low"
"587","UTTAR PRADESH","KANSHIRAM NAGAR","High","Medium","Low"
"588","UTTARAKHAND","UTTARKASHI","Medium","High","High"
"589","UTTARAKHAND","CHAMOLI","Medium","Medium","Medium"
"590","UTTARAKHAND","RUDRAPRAYAG","Medium","Medium","Medium"
"591","UTTARAKHAND","TEHRI GARHWAL","Medium","High","High"
"592","UTTARAKHAND","DEHRADUN","Medium","Medium","High"
"593","UTTARAKHAND","GARHWAL","Low","Medium","High"
"594","UTTARAKHAND","PITHORAGARH","Medium","Low","Medium"
"595","UTTARAKHAND","BAGESHWAR","Medium","Medium","High"
"596","UTTARAKHAND","ALMORA","Medium","Medium","Low"
"597","UTTARAKHAND","CHAMPAWAT","Medium","Medium","Medium"
"598","UTTARAKHAND","NAINITAL","Medium","Low","Low"
"599","UTTARAKHAND","UDHAM SINGH NAGAR","Medium","Medium","Low"
"600","UTTARAKHAND","HARDWAR","Medium","Medium","Low"
"601","WEST BENGAL","DARJILING","Medium","Medium","Low"
"602","WEST BENGAL","JALPAIGURI","Medium","Medium","Medium"
"603","WEST BENGAL","KOCH BIHAR","Medium","Medium","Medium"
"604","WEST BENGAL","UTTAR DINAJPUR","High","Medium","Low"
"605","WEST BENGAL","DAKSHIN DINAJPUR","Medium","Medium","Medium"
"606","WEST BENGAL","MALDAH","Medium","Medium","Medium"
"607","WEST BENGAL","MURSHIDABAD","High","Medium","Medium"
"608","WEST BENGAL","BIRBHUM","High","High","High"
"609","WEST BENGAL","BARDDHAMAN","Medium","Medium","High"
"610","WEST BENGAL","NADIA","Low","Low","Low"
"611","WEST BENGAL","NORTH TWENTY FOUR PARGANAS","Low","Low","Low"
"612","WEST BENGAL","HUGLI","Medium","Medium","Medium"
"613","WEST BENGAL","BANKURA","Medium","Medium","High"
"614","WEST BENGAL","PURULIYA","High","High","High"
"615","WEST BENGAL","HAORA","Medium","Medium","Low"
"616","WEST BENGAL","KOLKATA","Low","Low","Medium"
"617","WEST BENGAL","SOUTH TWENTY FOUR PARGANAS","Medium","Medium","Medium"
"618","WEST BENGAL","PASCHIM MEDINIPUR","Medium","High","High"
"619","WEST BENGAL","PURBA MEDINIPUR","Medium","Medium","Medium"
