,state,district,stunting_range,uw_range,wasting_range,District_Name
77,BIHAR,KAIMUR (BHABUA),1,1,0.5,KAIMUR (BHABUA)
78,BIHAR,ROHTAS,1,1,0.5,ROHTAS
79,BIHAR,GAYA,1,1,1,GAYA
80,BIHAR,NAWADA,1,1,0.5,NAWADA
81,BIHAR,JAMUI,1,1,1,JAMUI
82,BIHAR,JEHANABAD,1,1,0.5,JEHANABAD
83,BIHAR,ARWAL,1,1,1,ARWAL
84,BIHAR,AURANGABAD,1,1,0.5,AURANGABAD
85,CHHATTISGARH,KOREA,0.5,0.5,1,KOREA
86,CHHATTISGARH,SURGUJA,0.5,0.5,0.5,SURGUJA
87,CHHATTISGARH,JASHPUR,0.5,0.5,0.5,JASHPUR
88,CHHATTISGARH,KORBA,0.5,0.5,1,KORBA
89,CHHATTISGARH,JANJGIR - CHAMPA,0.5,0.5,0.5,JANJGIR-CHAMPA
90,CHHATTISGARH,BILASPUR,0.5,0.5,1,BILASPUR
91,CHHATTISGARH,KABIRDHAM,1,0.5,0.5,KABIRDHAM
92,CHHATTISGARH,RAJNANDGAON,1,0.5,0.5,RAJNANDGAON
93,CHHATTISGARH,DURG,0.5,0.5,0.5,DURG
94,CHHATTISGARH,RAIPUR,0.5,0.5,0.5,RAIPUR
95,CHHATTISGARH,MAHASAMUND,1,0.5,0.5,MAHASAMUND
96,CHHATTISGARH,DHAMTARI,0.5,1,1,DHAMTARI
97,CHHATTISGARH,UTTAR BASTAR KANKER,0.5,1,1,KANKER
98,CHHATTISGARH,BASTAR,1,1,1,BASTAR
99,CHHATTISGARH,NARAYANPUR,1,1,1,NARAYANPUR
100,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,1,1,1,DANTEWADA
101,CHHATTISGARH,RAIGARH,0.5,0.5,0.5,RAIGARH
102,CHHATTISGARH,BIJAPUR,1,1,1,BIJAPUR
103,DAMAN AND DIU,DIU,0.5,0.5,0.5,DADRA AND NAGAR HAVELI
104,DAMAN AND DIU,DAMAN,0,0.5,1,DAMAN
105,DELHI,CENTRAL,0.5,0.5,0.5,CENTRAL
106,DELHI,WEST,0.5,0.5,0.5,WEST
107,DELHI,SOUTH WEST,0.5,0.5,0,SOUTH WEST
108,DELHI,SOUTH,0.5,0.5,0.5,SOUTH
109,GOA,NORTH GOA,0,0.5,0.5,NORTH GOA
110,GOA,SOUTH GOA,0,0.5,1,SOUTH GOA
111,GUJARAT,KACHCHH,1,0.5,1,KACHCHH
112,GUJARAT,BANASKANTHA,1,1,0.5,BANAS KANTHA
113,GUJARAT,PATAN,0.5,0.5,0.5,PATAN
114,GUJARAT,MAHESANA,1,1,1,MAHESANA
115,GUJARAT,SABARKANTHA,1,1,0.5,SABAR KANTHA
116,GUJARAT,GANDHINAGAR,0.5,1,1,GANDHINAGAR
117,GUJARAT,AHMADABAD,0.5,0.5,1,AHMADABAD
118,GUJARAT,SURENDRANAGAR,1,1,1,SURENDRANAGAR
119,GUJARAT,RAJKOT,0.5,0.5,0.5,RAJKOT
120,GUJARAT,JAMNAGAR,0.5,0.5,1,JAMNAGAR
121,GUJARAT,PORBANDAR,0,0.5,1,PORBANDAR
122,GUJARAT,JUNAGADH,0.5,0.5,1,JUNAGADH
123,GUJARAT,AMRELI,0.5,0.5,0.5,AMRELI
124,GUJARAT,BHAVNAGAR,1,1,1,BHAVNAGAR
125,GUJARAT,ANAND,1,1,0.5,ANAND
126,GUJARAT,KHEDA,1,1,1,KHEDA
127,GUJARAT,PANCHMAHAL,1,1,1,PANCH MAHALS
128,GUJARAT,DOHAD,1,1,0.5,DOHAD
129,GUJARAT,VADODARA,1,0.5,0.5,VADODARA
130,GUJARAT,NARMADA,1,1,1,NARMADA
